"","sampleName","Year","Tissue","Phenology","indexer","Rootstock","Irrigation","Row","Block"
"A1Y3_626_L","A1Y3_626_L","2019","Leaf","Harvest","2019_Harvest_Leaf_14_A_3","3309C","RDI","14","C"
"A1Y3_627_L","A1Y3_627_L","2019","Leaf","Harvest","2019_Harvest_Leaf_14_B_2","SO4","RDI","14","C"
"A1Y3_628_L","A1Y3_628_L","2019","Leaf","Harvest","2019_Harvest_Leaf_14_B_3","SO4","RDI","14","C"
"A1Y3_629_L","A1Y3_629_L","2019","Leaf","Harvest","2019_Harvest_Leaf_14_C_2","Ungrafted","RDI","14","C"
"A1Y3_630_L","A1Y3_630_L","2019","Leaf","Harvest","2019_Harvest_Leaf_14_C_3","Ungrafted","RDI","14","C"
"A1Y3_631_L","A1Y3_631_L","2019","Leaf","Harvest","2019_Harvest_Leaf_14_D_2","1103P","RDI","14","C"
"A1Y3_632_L","A1Y3_632_L","2019","Leaf","Harvest","2019_Harvest_Leaf_14_D_3","1103P","RDI","14","C"
"A1Y3_633_L","A1Y3_633_L","2019","Leaf","Harvest","2019_Harvest_Leaf_15_A_2","Ungrafted","None","15","C"
"A1Y3_634_L","A1Y3_634_L","2019","Leaf","Harvest","2019_Harvest_Leaf_15_A_3","Ungrafted","None","15","C"
"A1Y3_635_L","A1Y3_635_L","2019","Leaf","Harvest","2019_Harvest_Leaf_15_B_2","3309C","None","15","C"
"A1Y3_636_L","A1Y3_636_L","2019","Leaf","Harvest","2019_Harvest_Leaf_15_B_3","3309C","None","15","C"
"A1Y3_637_L","A1Y3_637_L","2019","Leaf","Harvest","2019_Harvest_Leaf_15_C_2","1103P","None","15","C"
"A1Y3_638_L","A1Y3_638_L","2019","Leaf","Harvest","2019_Harvest_Leaf_15_C_3","1103P","None","15","C"
"A1Y3_639_L","A1Y3_639_L","2019","Leaf","Harvest","2019_Harvest_Leaf_15_D_2","SO4","None","15","C"
"A1Y3_640_L","A1Y3_640_L","2019","Leaf","Harvest","2019_Harvest_Leaf_15_D_3","SO4","None","15","C"
"A1Y3_641_L","A1Y3_641_L","2019","Leaf","Harvest","2019_Harvest_Leaf_16_A_2","1103P","Full","16","C"
"A1Y3_642_L","A1Y3_642_L","2019","Leaf","Harvest","2019_Harvest_Leaf_16_A_3","1103P","Full","16","C"
"A1Y3_643_L","A1Y3_643_L","2019","Leaf","Harvest","2019_Harvest_Leaf_16_B_2","Ungrafted","Full","16","C"
"A1Y3_644_L","A1Y3_644_L","2019","Leaf","Harvest","2019_Harvest_Leaf_16_B_3","Ungrafted","Full","16","C"
"A1Y3_645_L","A1Y3_645_L","2019","Leaf","Harvest","2019_Harvest_Leaf_16_C_2","SO4","Full","16","C"
"A1Y3_646_L","A1Y3_646_L","2019","Leaf","Harvest","2019_Harvest_Leaf_16_C_3","SO4","Full","16","C"
"A1Y3_647_L","A1Y3_647_L","2019","Leaf","Harvest","2019_Harvest_Leaf_16_D_2","3309C","Full","16","C"
"A1Y3_648_L","A1Y3_648_L","2019","Leaf","Harvest","2019_Harvest_Leaf_16_D_3","3309C","Full","16","C"
"A1Y3_505_R","A1Y3_505_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_8_A_2","1103P","None","8","A"
"A1Y3_506_R","A1Y3_506_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_8_A_3","1103P","None","8","A"
"A1Y3_507_R","A1Y3_507_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_8_B_2","3309C","None","8","A"
"A1Y3_508_R","A1Y3_508_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_8_B_3","3309C","None","8","A"
"A1Y3_509_R","A1Y3_509_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_8_C_2","SO4","None","8","A"
"A1Y3_510_R","A1Y3_510_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_8_C_3","SO4","None","8","A"
"A1Y3_511_R","A1Y3_511_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_8_D_2","Ungrafted","None","8","A"
"A1Y3_512_R","A1Y3_512_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_8_D_3","Ungrafted","None","8","A"
"A1Y3_513_R","A1Y3_513_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_9_A_2","Ungrafted","RDI","9","A"
"A1Y3_514_R","A1Y3_514_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_9_A_3","Ungrafted","RDI","9","A"
"A1Y3_515_R","A1Y3_515_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_9_B_2","1103P","RDI","9","A"
"A1Y3_516_R","A1Y3_516_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_9_B_3","1103P","RDI","9","A"
"A1Y3_517_R","A1Y3_517_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_9_C_2","3309C","RDI","9","A"
"A1Y3_518_R","A1Y3_518_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_9_C_3","3309C","RDI","9","A"
"A1Y3_519_R","A1Y3_519_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_9_D_2","SO4","RDI","9","A"
"A1Y3_520_R","A1Y3_520_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_9_D_3","SO4","RDI","9","A"
"A1Y3_521_R","A1Y3_521_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_10_A_2","3309C","Full","10","A"
"A1Y3_522_R","A1Y3_522_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_10_A_3","3309C","Full","10","A"
"A1Y3_524_R","A1Y3_524_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_10_B_3","SO4","Full","10","A"
"A1Y3_525_R","A1Y3_525_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_10_C_2","Ungrafted","Full","10","A"
"A1Y3_526_R","A1Y3_526_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_10_C_3","Ungrafted","Full","10","A"
"A1Y3_527_R","A1Y3_527_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_10_D_2","1103P","Full","10","A"
"A1Y3_528_R","A1Y3_528_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_10_D_3","1103P","Full","10","A"
"A1Y3_529_R","A1Y3_529_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_11_A_2","3309C","RDI","11","B"
"A1Y3_530_R","A1Y3_530_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_11_A_3","3309C","RDI","11","B"
"A1Y3_531_R","A1Y3_531_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_11_B_2","1103P","RDI","11","B"
"A1Y3_532_R","A1Y3_532_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_11_B_3","1103P","RDI","11","B"
"A1Y3_533_R","A1Y3_533_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_11_C_2","Ungrafted","RDI","11","B"
"A1Y3_534_R","A1Y3_534_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_11_C_3","Ungrafted","RDI","11","B"
"A1Y3_535_R","A1Y3_535_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_11_D_2","SO4","RDI","11","B"
"A1Y3_536_R","A1Y3_536_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_11_D_3","SO4","RDI","11","B"
"A1Y3_537_R","A1Y3_537_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_12_A_2","1103P","Full","12","B"
"A1Y3_538_R","A1Y3_538_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_12_A_3","1103P","Full","12","B"
"A1Y3_539_R","A1Y3_539_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_12_B_2","Ungrafted","Full","12","B"
"A1Y3_540_R","A1Y3_540_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_12_B_3","Ungrafted","Full","12","B"
"A1Y3_541_R","A1Y3_541_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_12_C_2","SO4","Full","12","B"
"A1Y3_543_R","A1Y3_543_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_12_D_2","3309C","Full","12","B"
"A1Y3_544_R","A1Y3_544_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_12_D_3","3309C","Full","12","B"
"A1Y3_545_R","A1Y3_545_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_13_A_2","SO4","None","13","B"
"A1Y3_546_R","A1Y3_546_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_13_A_3","SO4","None","13","B"
"A1Y3_547_R","A1Y3_547_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_13_B_2","3309C","None","13","B"
"A1Y3_548_R","A1Y3_548_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_13_B_3","3309C","None","13","B"
"A1Y3_549_R","A1Y3_549_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_13_C_2","1103P","None","13","B"
"A1Y3_550_R","A1Y3_550_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_13_C_3","1103P","None","13","B"
"A1Y3_551_R","A1Y3_551_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_13_D_2","Ungrafted","None","13","B"
"A1Y3_552_R","A1Y3_552_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_13_D_3","Ungrafted","None","13","B"
"A1Y3_553_R","A1Y3_553_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_14_A_2","3309C","RDI","14","C"
"A1Y3_557_R","A1Y3_557_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_14_C_2","Ungrafted","RDI","14","C"
"A1Y3_558_R","A1Y3_558_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_14_C_3","Ungrafted","RDI","14","C"
"A1Y3_559_R","A1Y3_559_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_14_D_2","1103P","RDI","14","C"
"A1Y3_560_R","A1Y3_560_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_14_D_3","1103P","RDI","14","C"
"A1Y3_561_R","A1Y3_561_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_15_A_2","Ungrafted","None","15","C"
"A1Y3_562_R","A1Y3_562_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_15_A_3","Ungrafted","None","15","C"
"A1Y3_563_R","A1Y3_563_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_15_B_2","3309C","None","15","C"
"A1Y3_564_R","A1Y3_564_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_15_B_3","3309C","None","15","C"
"A1Y3_565_R","A1Y3_565_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_15_C_2","1103P","None","15","C"
"A1Y3_566_R","A1Y3_566_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_15_C_3","1103P","None","15","C"
"A1Y3_568_R","A1Y3_568_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_15_D_3","SO4","None","15","C"
"A1Y3_569_R","A1Y3_569_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_16_A_2","1103P","Full","16","C"
"A1Y3_570_R","A1Y3_570_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_16_A_3","1103P","Full","16","C"
"A1Y3_572_R","A1Y3_572_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_16_B_3","Ungrafted","Full","16","C"
"A1Y3_573_R","A1Y3_573_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_16_C_2","SO4","Full","16","C"
"A1Y3_576_R","A1Y3_576_R","2019","Reproductive","Veraison","2019_Veraison_Reproductive_16_D_3","3309C","Full","16","C"
